Date,Category,Amount,Notes
2025-01-08,subscriptions,1186.67,Spotify
2025-06-04,transportation,568.62,Fuel
2025-01-29,entertainment,809.67,Concert
2025-05-20,healthcare,190.53,Blood test
2025-02-06,utilities,33.65,Internet
2025-03-11,rent,701.42,Advance rent
2025-04-07,healthcare,998.25,Dental checkup
2025-05-09,rent,715.77,Partial rent
2025-03-30,subscriptions,804.09,Adobe
2025-01-28,groceries,270.38,Costco
2025-01-31,subscriptions,1138.29,Adobe
2025-04-19,healthcare,175.86,Eye test
2025-06-02,rent,728.56,Advance rent
2025-01-11,utilities,964.47,Electricity bill
2025-01-11,subscriptions,419.11,Medium
2025-06-08,healthcare,348.31,Eye test
2025-06-06,entertainment,123.59,Board game
2025-06-21,transportation,1126.06,Fuel
2025-02-28,transportation,1029.98,Metro pass
2025-06-16,transportation,455.85,Bus pass
2025-06-20,rent,24.63,Monthly rent
2025-05-22,utilities,738.32,Water bill
2025-03-10,healthcare,594.25,Dental checkup
2025-02-23,rent,825.95,Partial rent
2025-05-02,utilities,1101.44,Gas bill
2025-04-19,subscriptions,113.14,VPN
2025-05-13,groceries,1015.09,Costco
2025-01-02,utilities,321.44,Water bill
2025-05-13,healthcare,99.55,Eye test
2025-01-06,entertainment,553.5,Movie night
2025-01-08,utilities,355.02,Electricity bill
2025-04-26,subscriptions,932.23,VPN
2025-04-01,entertainment,334.88,Concert
2025-06-29,subscriptions,513.27,Medium
2025-06-17,rent,802.61,Monthly rent
2025-06-12,groceries,474.52,Trader Joe’s
2025-05-15,healthcare,1147.45,Blood test
2025-05-23,utilities,889.02,Internet
2025-05-13,transportation,428.03,Fuel
2025-05-22,subscriptions,978.46,Medium
2025-02-19,healthcare,212.1,Blood test
2025-05-23,utilities,793.09,Internet
2025-06-15,utilities,859.97,Water bill
2025-04-13,entertainment,1092.48,Arcade
2025-06-25,transportation,1074.93,Metro pass
2025-03-27,entertainment,523.94,Movie night
2025-01-12,rent,510.33,Monthly rent
2025-06-18,healthcare,848.22,Dental checkup
2025-06-23,rent,870.9,Partial rent
2025-03-15,transportation,53.67,Metro pass
2025-03-23,transportation,588.75,Uber
2025-06-25,utilities,293.86,Electricity bill
2025-03-24,subscriptions,188.49,YouTube
2025-03-26,dining,216.51,Lunch out
2025-01-09,groceries,1141.35,Walmart
2025-01-27,groceries,663.11,Trader Joe’s
2025-04-24,rent,965.79,Monthly rent
2025-06-10,groceries,586.13,Walmart
2025-03-13,rent,212.26,Advance rent
2025-01-19,rent,492.8,Monthly rent
2025-05-09,transportation,905.74,Fuel
2025-04-19,dining,1149.27,Coffee
2025-01-28,utilities,185.92,Electricity bill
2025-04-05,utilities,130.23,Electricity bill
2025-01-01,rent,462.83,Monthly rent
2025-04-30,utilities,850.71,Internet
2025-03-28,subscriptions,1067.48,YouTube
