Date,Category,Amount,Notes
2025-01-14,Fuel,2108.33,Petrol pump
2025-01-30,Rent,526.89,Doctor visit
2025-01-02,Subscriptions,196.11,Petrol pump
2025-05-27,Shopping,667.87,Amazon purchase
2025-02-24,EMI,4441.13,Amazon purchase
2025-04-10,Rent,4402.15,Petrol pump
2025-03-10,Shopping,2001.55,Netflix
2025-01-05,Fuel,3711.66,Netflix
2025-05-14,EMI,748.07,Weekend dinner
2025-02-14,Groceries,4712.19,Netflix
2025-04-27,Groceries,484.56,Monthly bill
2025-05-05,Internet,3360.56,Netflix
2025-03-12,Internet,4945.35,Recharge
2025-01-15,Clothing,1015.13,Flipkart
2025-05-22,Dining Out,3726.71,Petrol pump
2025-06-07,Electricity,2751.33,Amazon purchase
2025-04-07,Electricity,1252.89,Zomato
2025-03-26,Clothing,1064.87,Netflix
2025-04-18,Rent,2523.95,Doctor visit
2025-05-01,Medical,2577.08,
2025-05-08,Medical,699.15,Petrol pump
2025-06-12,EMI,2946.46,
2025-03-19,Gym,1861.44,Weekend dinner
2025-01-20,Clothing,1972.94,Amazon purchase
2025-01-25,Internet,1681.5,Amazon purchase
2025-04-19,Clothing,2537.32,Netflix
2025-06-13,Fuel,593.51,Recharge
2025-02-22,Groceries,4867.54,Recharge
2025-03-10,Subscriptions,3015.45,Amazon purchase
2025-03-27,Gym,4947.56,Petrol pump
2025-05-07,Medical,4054.71,Zomato
2025-02-01,Groceries,2509.63,Weekend dinner
2025-02-13,Internet,1067.04,Netflix
2025-04-25,Gym,2603.83,Doctor visit
2025-03-08,Gym,1443.46,Doctor visit
2025-02-06,Dining Out,1181.37,Petrol pump
2025-06-06,Dining Out,4669.82,Weekend dinner
2025-04-20,Groceries,3450.3,Weekend dinner
2025-01-14,Rent,4864.69,Doctor visit
2025-04-12,Subscriptions,290.02,Monthly bill
2025-05-08,Electricity,4871.15,Doctor visit
2025-05-17,Rent,583.98,Monthly bill
2025-02-12,Clothing,2114.71,Petrol pump
2025-02-19,Gym,1881.83,Petrol pump
2025-02-24,Internet,305.03,Amazon purchase
2025-04-03,Clothing,517.46,Amazon purchase
2025-04-15,Electricity,2393.9,Doctor visit
2025-04-22,Dining Out,1594.75,Monthly bill
2025-02-03,Dining Out,3749.05,Doctor visit
2025-02-11,EMI,179.57,Amazon purchase
2025-03-16,Gym,3908.66,Recharge
2025-04-28,Groceries,3056.78,Amazon purchase
2025-05-06,Shopping,517.03,Amazon purchase
2025-02-08,Dining Out,1462.49,Recharge
2025-06-01,Medical,4589.58,Amazon purchase
2025-05-11,Fuel,489.24,Recharge
2025-02-14,Medical,4263.6,Petrol pump
2025-03-09,EMI,4663.77,Weekend dinner
2025-01-20,Rent,2912.98,Amazon purchase
2025-02-27,Clothing,158.74,Amazon purchase
